time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010446750000	18.1597	6.39574	5.04814	0.953658	0.446204	radar	0.583894	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2832	6.62433	5.05431	0.988505	0.460473	lidar	0.353415	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4116	6.84437	5.05263	1.0194	0.473915	radar	0.252774	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.564	6.98708	4.99867	1.01534	0.44465	lidar	3.0327	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7105	7.19558	5.00962	1.02546	0.423391	radar	0.489994	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9114	7.33356	4.97753	1.00195	0.373581	lidar	4.68362	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.9944	7.55354	4.94531	1.05078	0.425038	radar	4.57351	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0884	7.80029	4.96129	1.08886	0.443716	lidar	0.638212	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.206	8.01389	4.95814	1.10624	0.436683	radar	0.358886	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2878	8.22498	4.93398	1.13457	0.445196	lidar	1.72643	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3841	8.44153	4.92809	1.15216	0.433735	radar	2.44944	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4817	8.59626	4.8569	1.15806	0.419144	lidar	5.42887	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5678	8.81514	4.84481	1.18532	0.432423	radar	0.789426	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7338	8.98304	4.81812	1.16702	0.388553	lidar	4.7875	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8013	9.2142	4.80973	1.20518	0.420889	radar	1.05172	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9364	9.42488	4.81414	1.20432	0.395968	lidar	2.70781	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9754	9.65879	4.79491	1.25534	0.449662	radar	2.95474	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0672	9.88432	4.7987	1.26969	0.440343	lidar	0.464839	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.125	10.132	4.81743	1.29486	0.437453	radar	6.75164	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1767	10.3873	4.83844	1.32488	0.445617	lidar	0.388291	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1892	10.6288	4.82578	1.37534	0.492051	radar	3.03956	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2513	10.8863	4.8523	1.3959	0.486277	lidar	1.53739	20.371	11.0109	20.1663	10.864	0.722256	4.7934
